IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,North End Sewage Treatment plant (NEWPCC) Upgrades: Nutrient Removal Facilities,The proposed project is the final phase of the NEWPCC (North End Sewage Treatment Plant) Upgrade. The Nutrient Removal Facilities project will address regulatory requirements regarding the new effluent limits for nitrogen and phosphorous. It will add mostly new facilities including new wet weather treatment capability and replace associated end-of-life equipment.,Water and Waste,Wastewater,Project,$0,0%,5,A Strong Economy,Upgrade,West Kildonan Industrial,Old Kildonan,POINT (-97.10764 49.95172),0,0,2033,Growth-enabling infrastructure,,N,12,,,,,,,
2023,Digital Evidence Management System,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,"$6,260,000",0%,4,City Building,Renew,,,,0,0,2025,,,,,,,,,,,
2023,Road Safety Strategy Implementation,text,Public Works,Roads - Regional,Program,"$21,790,000",0%,,Economic Prosperity,Upgrade,,,,0,"4,218,000",2026,,,,,,,,,,,
2024,Water and Waste Department Business Intelligence,"This project will develop a solution that will improve access to data and information, provide improved analytics, dashboarding, and reporting functionality, provide timely reporting of data, and generate insights to improve evidence-based decision-making.",Innovation and Technology,Wastewater,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"500,000",0,2032,,,N,4,,,,,,,
2024,Wheel Chair Securements - Retro fit,"This program will support the retro fit of wheelchair securements on existing buses purchased before 2021. Beginning in 2021 all new buses received will be equipped with wheelchair securements that will meet the Accessibility for Manitobans Act (AMA) regulations. The AMA is proposed provincial legislation which mandates accessibility regulations that are not elective and must be met. The transportation regulations themselves are currently in development, and are expected to be issued soon. This retrofit project, in addition to making the ride safer for all passengers including the most vulnerable, would allow customers to use both Winnipeg Transit Plus and conventional transit together to complete a trip. This approach is expected to provide more independence and flexibility for customers.",Winnipeg Transit,Public Transit,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2031,,,N,5,,,,,,,
2023,Route 165 Extension East - Des Hivernants to Fermor,text,Public Works,Roads - Regional,Project,"$92,507,000",0%,5,City Building,Growth,Sage Creek,St. Vital,POINT (-97.04055333 49.8405786),0,"19,190,000",2027,Growth-supportive infrastructure,,,,,,,,,,
2024,SEWPCC Second Stage Dewatering,Design and construction for the neccesary upgrade to the SEWPCC to produce sludge at a percent of solids of 15% minimum.,Water and Waste,Wastewater,Project,$0,100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"1,000,000",0,2030,,,N,13,,,,,,,
2023,Lift Station Upgrading: Station Rehabilitation,text,Water and Waste,Wastewater,Program,"$67,050,000",100%,,Environmental Resilience,Upgrade,,,,"7,000,000",0,2025,,,,,,,,,,,
2024,Station Capital Maintenance,"These capital funds support an ongoing program of repair and structural maintenance to ensure station asset lives are maximized, thereby ensuring the service has an operable station network from which emergency response vehicles can be deployed across the whole city to meet required response times.",Fire Paramedic Service,Fire & Rescue Response,Program,$0,50%,,"A Livable, Safe, Healthy, Happy City",Operations & Maintenance,,,,"1,000,000","500,000",2029,,,N,1,,,,,,,
2023,Sidewalk Renewals on Local Streets - Various locations,text,Public Works,Active Transportation,Program,"$28,650,000",0%,,Good Health & Well-Being,Renew,,,,0,"2,865,000",2024,,,,,,,,,,,
2023,Neighbourhood Centres Capital Renewal Program,text,Assets and Project Management,Recreation,Program,"$7,535,000",0%,,Economic Prosperity,Renew,,,,0,"1,275,000",2026,,,,,,,,,,,
2024,Feeder Main Condition Assessment and Rehabilitation,"Feeder mains are specialized large diameter pipes used to convey drinking water throughout the City. The majority of feeder mains were installed in the 1960s and require inspection, testing, and maintenance to preserve the asset. Funds are for condition assessment and rehabilitation work, including structural assessments, inspections, purchase of testing equipment, replacement of valves and related components, structural repairs, valve chamber rehabilitation, and restoration works.",Water and Waste,Water,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"250,000",0,2032,,,N,8,,,,,,,
2024,Brady Road Resource Management Facility - Landfill Gas Capture Expansion,"There is an obligation under the Province of Manitoba Environment Act Licence No. 3081 R for the Brady Road Resource Management Facility (BRRMF) to control odours leaving the landfill site. If the gas is not collected, objectionable odours may be experienced by the nearby neighbourhoods from the active filling area. Additionally, flammable gases will be released uncontrolled from the decomposing waste which may pose public health and safety risks. The Climate Change and Emissions Reductions Act requires the City to collect and destroy methane gas generated by the BRRMF, consistent with Provincial directives on greenhouse gas reduction and odour control.",Water and Waste,Solid Waste Disposal,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),0,0,2029,,,N,1,,,,,,,
2024,"Consolidate Core Stations (Centennial, Spence, Sargent Park)",Consolidation of Station 1 (65 Ellen St.) Station 5 (845 Sargent Ave.) and Station 36 (726 Furby t.) into a single fit-for-purpose station on existing city land,Fire Paramedic Service,Fire & Rescue Response,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Renew,West Alexander,Point Douglas,POINT (-97.14658 49.89845),0,0,2032,,,N,8,,,,,,,
2023,Asset Refurbishment and Replacement Program: Projects,text,Water and Waste,Wastewater,Program,"$64,000,000",100%,,Environmental Resilience,Renew,,,,"5,500,000",0,2027,,,,,,,,,,,
2023,Transit Building Replacement / Refurbishment,text,Winnipeg Transit,Public Transit,Program,"$13,436,000",100%,,City Building,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),"600,000",0,2029,,,,,,,,,,,
2024,Water Meter Renewals,"The majority of the City's inventory of water meters are at end of life. Funding in previous years will be used to review current water meter technology, validate the best replacement technology, and develop a plan and class 3 estimate for implementation of a multi-year direct-read water meter replacement program.",Water and Waste,Water,Project,"$135,000,000",100%,5,A City that Works for Residents through Improved Customer Service,Renew,,,,"2,000,000",0,2024,,"450,000",N,5,,,,,,,
2024,Lagimodiere Twin Overpasses Rehabilitation (Concordia & CPR Keewatin),This project includes major rehabilitation of the Lagimodiere Twin Overpasses over Concordia Avenue and the Canadian Pacific Railway (CPR) Keewatin rail lines. Improvements to traffic capacity and roadside safety will be determined as part of a preliminary design study.,Public Works,Bridges - Regional,Project,$0,100%,5,A City that Works for Residents through Improved Customer Service,Renew,Eaglemere,Elmwood - East Kildonan,POINT (-97.05505486 49.91319913),"15,742,000",0,2027,,,N,5,,,,,,,
2024,Outfall Rehabilitation,"The City will program and undertake risk-based work on a yearly basis to maximize use of funding for the rehabilitation of sewer outfalls, repairs to piping and related appurtenances, and to improve riverbank stability issues. Funds are also included for condition assessments and re-inspections, as required.",Water and Waste,Land Drainage & Flood Control,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"3,000,000",0,2029,,,N,5,,,,,,,
2023,Branch Aqueduct Condition Assessment and Rehabilitation,text,Water and Waste,Water,Program,"$15,700,000",100%,,Environmental Resilience,Renew,,,,"1,500,000",0,2027,,,,,,,,,,,
2023,Silver Heights Fire Paramedic Station,text,Fire Paramedic Service,Fire & Medical Response,Project,"$12,068,000",100%,5,Good Health & Well-Being,Renew,Silver Heights,St. James,POINT (-97.25476765 49.88025755),"11,655,000",0,2028,,,,,,,,,,,
2023,Flood Pumping Station Rehabilitation,text,Water and Waste,Land Drainage & Flood Control,Program,"$15,000,000",100%,,Environmental Resilience,Renew,,,,"1,500,000",0,2031,,,,,,,,,,,
2023,Regional Parks,text,Public Works,Parks - Regional,Program,"$21,555,000",100%,,Good Health & Well-Being,Operations & Maintenance,,,,"3,000,000",0,2028,,,,,,,,,,,
2024,Digital Evidence Management System,"Evergreening our current For-The-Record (FTR) systems and procurement of a Digital Evidence Management system for proper and efficient storage, tracking and retention of all videos and photos/pictures processed by the WPS (from internal or external sources), particularly for investigative purposes. System will need to be renewed on a 5 year cycle.",Winnipeg Police Service,Police Services,Program,$0,100%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,0,2027,,,N,3,,,,,,,
2024,Road Safety Improvement Program,"This is an annual program which includes city-wide installation of new full signals, half signals and pedestrian corridors based on priority warrant systems, traffic calming measures, left turn signal phases, and other roadside safety improvements.",Public Works,Roads - Regional,Program,$0,86%,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,"9,428,000",0,2032,,,Y,1,,,,,,,
2024,Local Improvements - Ongoing Program,Local Improvement capital projects are those which are financed partly by a direct levy on the properties benefited. The program is governed by Local Improvements By-law No. 98/72 and is subject to advertising and subsequent approval by the majority of ratepayers involved. The types of expenditure generally falling within this category are: paving of local streets and lanes; sidewalk and boulevard construction; installation of new watermains and sewers; ornamental street lighting and lane lighting.,Assessment & Taxation,Assessment & Taxation,Program,$0,80%,,A City that Works for Residents through Improved Customer Service,Operations & Maintenance,,,,"1,000,000",0,2028,,,N,2,,,,,,,
2023,Evidence Archive Building,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,"$9,219,000",0%,4,City Building,Renew,,,,0,"4,912,000",2026,,,,,,,,,,,
2024,Automatic Fare Collection System (AFCS) Upgrade,"The Automatic Fare Collection System (AFCS) project includes an upgrade of the existing fare collection technology, and migration of software to a new platform.",Winnipeg Transit,Public Transit,Project,$0,100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2029,,,N,2,,,,,,,
2024,Flood Pumping Station Rehabilitation,"A 2007 report on the adequacy and operation of the City’s regional flood pumping stations identified station upgrades required in the near and long term. These upgrades improve overall station reliability during high river levels and rainfall events and may include changes to ventilation, electrical, mechanical, structural, or architectural components of the stations and associated structures, chambers, weirs, outfall pipes, and gates. A program to address high priority reliability items has been developed for implementation. All stations will be upgraded for remote monitoring which is critical during flood and rainfall events.",Water and Waste,Land Drainage & Flood Control,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"1,500,000",0,2030,,,N,1,,,,,,,
2024,Community Incentive Grant Program,Funding to re-instate the Community Incentive Grant Program as per Council's Strategic Priorities Action Plan.,Community Services,Recreation,Program,$0,100%,,"A Livable, Safe, Healthy, Happy City",Growth,,,,"1,230,000",0,2029,,,N,22,,,,,,,
2023,Parks and Recreation Enhancement Program,text,Public Works,Parks - Local,Program,"$12,407,000",100%,,Good Health & Well-Being,Renew,,,,"1,241,000",0,2032,,,,,,,,,,,
2024,Regional and Local Street Renewal,"The Regional Street Renewal program includes the renewal and reconstruction of the City's regional streets, sidewalks and recreational walkways/paths, as well as incorporating pedestrian and cycling facilities on regional street renewal projects where identified in the Winnipeg Pedestrian and Cycling Strategies. The program also funds the condition rating of regional streets. The purpose of this program is to maintain the level of service, structural integrity, and rideability of the transportation infrastructure network.",Public Works,Roads - Regional,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Renew,,,,"170,307,000",0,2027,,,Y,3,,,,,,,
2024,Route 90 Improvements - Taylor to Ness,"The proposed project involves the widening and reconstruction of Route 90 from four to six lanes from Ness Avenue to Taylor Avenue. Considerable interchange and bridge improvements are required, which will include rehabilitation and reconstruction of the St. James Bridges crossing the Assiniboine River and modifications to the Portage Avenue interchange.",Public Works,Roads - Regional,Project,$0,0%,5,A Strong Economy,Growth,Mathers,River Heights - Fort Garry,POINT (-97.2067161202326 49.8518082577844),0,"38,681,000",2029,Growth-supportive infrastructure,,N,4,,,,,,,
2023,Fleet Asset Acquisitions,text,Fleet Management Services,Multiple Organizational Support Services,Program,"$282,132,000",56%,,Economic Prosperity,Operations & Maintenance,,,,"15,670,000","20,233,000",2026,,,,,,,,,,,
2024,Brady Road Resource Management Facility - Cell Construction,"Solid waste must be disposed of in engineered landfill cells under the conditions of the Environment Act Licence No. 3081 R. As the capacity of existing landfill cells is consumed, new cells and their supporting infrastructure must be designed and constructed. The funding identified provides for design, excavation, liners, leachate collection, associated surface and ground water management, access roads, and associated engineering work.",Water and Waste,Solid Waste Disposal,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),"5,900,000",0,2029,,,N,2,,,,,,,
2023,Osborne Street Underpass,text,Public Works,Roads - Regional,Project,"$46,053,000",0%,3,Environmental Resilience,Upgrade,West Kildonan Industrial,Old Kildonan,POINT (-97.10764 49.95172),"1,500,000","4,625,000",2028,,,,,,,,,,,
2024,Flight Operations - Helicopter,The helicopter currently in use will reach the end of its useful life.,Winnipeg Police Service,Police Services,Project,$0,0%,4,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,0,2033,,,N,4,,,,,,,
2024,Building Systems Repairs and Refurbishment Program at Pan Am Pool,"Facility improvement project to address end-of-life building systems/components, functional limitations, and code compliance in order to maintain current levels of service. Program scope includes short, medium and long-term structural repairs, repair or replacement of air handling units, installation of a central chiller cooling system, replacement of all exhaust fans, hot water tanks, heat exchanger, showers, the PA system to a zone-controllable model and dive tower replacement (added for 2024 budget year).",Assets and Project Management,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Upgrade,Grant Park,River Heights - Fort Garry,POINT (-97.17389347 49.85505337),0,0,2031,,,N,8,,,,,,,
2023,Urban Forest Renewal Program,text,Public Works,Urban Forests,Program,"$120,481,000",67%,,Environmental Resilience,Operations & Maintenance,Tyne-Tees,Elmwood - East Kildonan,POINT (-97.095599 49.901885),"9,202,000","2,655,000",2027,,,,,,,,,,,
2024,Digital Evidence Management System,"Evergreening our current For-The-Record (FTR) systems and procurement of a Digital Evidence Management system for proper and efficient storage, tracking and retention of all videos and photos/pictures processed by the WPS (from internal or external sources), particularly for investigative purposes. System will need to be renewed on a 5 year cycle.",Winnipeg Police Service,Police Services,Program,$0,100%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,0,2030,,,N,3,,,,,,,
2024,Arenas Capital Renewal Program,"The arena capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 14 indoor arenas owned and operated by the City of Winnipeg or by partners via legal agreements*. Projects may include ice plant component replacements, interior improvements, heating, ventilation and electrical improvements, replacement of rink components, building envelope and structural improvements.",Assets and Project Management,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,"18,832,000",2027,,,N,17,,,,,,,
2024,Osborne Street Underpass AT Improvements,"This project will examine cost effective functional design alternatives for an active transportation grade separation in the vicinity of the Osborne Street Underpass in order to address a gap in the Active Transportation Network to cross the CN mainline. Functional design will also be undertaken to review rehabilitation of the existing underpass to address deficiencies in land drainage, vertical clearance and pavement condition.",Public Works,Roads - Regional,Project,$0,6%,5,A City that Works for Residents through Improved Customer Service,Upgrade,River-Osborne,Fort Rouge - East Fort Garry,POINT (-97.14092029 49.87328292),0,0,2030,,,Y,6,,,,,,,
2023,Waterway Crossing and Grade Separations - Annual Program,text,Public Works,Bridges - Regional,Program,"$50,739,000",100%,,Good Health & Well-Being,Upgrade,,,,"3,500,000",0,2029,,,,,,,,,,,
2024,Chief Peguis Trail Extension West - Main to Brookside,"The proposed project consists of the construction of a four-lane divided roadway from Main Street to Brookside Boulevard (Route 90), including overpasses at Main Street and McPhillips Street. It will include four intersections and three pedestrian and cycling overpasses, and improvements to the Kildonan Settlers Bridge to accommodate intersection improvements at Main Street and multi-use pathways on both sides of the roadway.",Public Works,Roads - Regional,Project,$0,0%,3,A Strong Economy,Growth,Rivergrove,North Kildonan,POINT (-97.1020623 49.95228626),0,"181,742,000",2030,Growth-enabling infrastructure,,N,8,,,,,,,
2024,Evidence Archive Building,Additional secure storage is required to house long term exhibits for sex crimes and murders. Maximum capacity is projected to be reached within the next 5 years.  Options for 20 years of additional capacity are being developed.,Winnipeg Police Service,Police Services,Project,$0,0%,4,"A Livable, Safe, Healthy, Happy City",Growth,,,,0,0,2031,,,N,5,,,,,,,
2023,Archives & Record Control Office Re-location,text,City Clerks,Multiple Organizational Support Services,Project,"$12,690,000",100%,5,Economic Prosperity,Upgrade,,,,"12,147,000",0,2024,,,,,,,,,,,
2023,Parkland Acquisition,text,Public Works,Parks - Regional,Program,"$8,300,000",0%,,Good Health & Well-Being,Growth,,,,0,0,2031,,,,,,,,,,,
2024,Permit Licensing and Inspection Management Program,"A DPLI application provides an online platform or software solution that allows users to apply for, manage, and track permits, licenses or inspections issued by relevant authorities, such as government agencies, regulatory bodies, or private organizations. DPLI applications can be used for various purposes, such as parking permits, building permits, environmental permits, event permits, business licenses, and various inspections.",Innovation and Technology,"Dev Approval, Bldg, Permits & Insp",Program,$0,0%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2029,,,N,1,,,,,,,
2024,NG911,"CRTC NG9-1-1 standards require upgrades to call handling systems to ensure 9-1-1 data can be appropriately handled. It also requires primary and back-up PSAPS centres have physical and electronic security measures in place. These funds will be used to construct a 9-1-1 back-up centre to meet national standards, and implement an on-premise 9-1-1 communication system.",Fire Paramedic Service,Fire & Rescue Response,Project,$0,100%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,0,2032,,,N,3,,,,,,,
2024,NG911,"CRTC NG9-1-1 standards require upgrades to call handling systems to ensure 9-1-1 data can be appropriately handled. It also requires primary and back-up PSAPS centres have physical and electronic security measures in place. These funds will be used to construct a 9-1-1 back-up centre to meet national standards, and implement an on-premise 9-1-1 communication system.",Fire Paramedic Service,Fire & Rescue Response,Project,$0,100%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,"5,000,000",0,2025,,,N,3,,,,,,,
2024,Enterprise Resource Planning (ERP) Peoplesoft Renewal Program,"Human Resources, Finance and most or all City employees use PeopleSoft HR and Financials ERP modules that are at end of life. Short term support for the modules is provided by a third-party company.  The City needs additional functions, features and applications that are not available in the current PeopleSoft ERP modules. Many are also not available in the latest PeopleSoft updated versions and developing them will require customizations that are cost-prohibitive.",Innovation and Technology,Multiple Organizational Support Services,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2025,,,N,2,,,,,,,
2024,Communities Fund,"Funding in each year will be divided equally between each of the fifteen wards. Program details, policy, eligibility, reporting requirements, etc. of this new program will be communicated later or through the budget recommendations.",Council,Multiple Organizational Support Services,Program,"$6,946,000",100%,,A City that Works for Residents through Improved Customer Service,Renew,,,,0,0,2024,,,N,7,,0,0,0,0,0,0
2024,Shoal Lake Aqueduct Intake Facility Rehabilitation,"The Shoal Lake Aqueduct, which has been in continuous service since 1919, is the sole water supply infrastructure for the City. The Shoal Lake Intake Structure is the transition headworks to receive water from Shoal Lake and to control the water flow into the aqueduct. Given the critical nature of the intake structure and its associated venturi structure to the safe operation of the aqueduct and the City's water supply, a condition assessment was undertaken and identified a number of rehabilitation and replacement requirements. This included the replacement and refurbishment of various mechanical components that date back to the original construction, the replacement of the maintenance/communication facility, as well as upgrades and improvements to the existing infrastructure. The recommended improvements will be completed in phases on a risk-based priority",Water and Waste,Water,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"4,050,000",0,2027,,,N,11,,,,,,,
2024,North End Sewage Treatment plant (NEWPCC) Upgrades: Nutrient Removal Facilities,The proposed project is the final phase of the NEWPCC (North End Sewage Treatment Plant) Upgrade. The Nutrient Removal Facilities project will address regulatory requirements regarding the new effluent limits for nitrogen and phosphorous. It will add mostly new facilities including new wet weather treatment capability and replace associated end-of-life equipment.,Water and Waste,Wastewater,Project,$0,0%,5,A Strong Economy,Upgrade,West Kildonan Industrial,Old Kildonan,POINT (-97.10764 49.95172),0,0,2028,Growth-enabling infrastructure,,N,12,,,,,,,
2023,Community Centre Capital Renewal Program,text,Assets and Project Management,Recreation,Program,"$158,175,000",0%,,Leadership & Good Governance,Renew,,,,0,"25,940,000",2025,,,,,,,,,,,
2024,Continuous Improvement and Innovation Program (Formerly Innovation Program),"The Innovation Program will enable the City to create innovative ideas, utilize innovative technologies and approaches to improve existing systems, tools, and processes to primarily reduce costs or increase revenue, improve service levels, and add new capabilities. This will enable the Director of Innovation & Technology to fulfill the mandate of driving innovation for the City of Winnipeg to be smarter, more efficient, and more effective in meeting the needs of a growing city.",Innovation and Technology,Contact Centre - 311,Program,$0,43%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"615,000",0,2031,,,N,1,,,,,,,
2023,Fermor and Lagimodiere Interchange,text,Public Works,Bridges - Regional,Project,"$187,967,000",0%,5,City Building,Upgrade,Windsor Park,St. Boniface,POINT (-97.04958245 49.85610078),0,"69,335,000",2029,,,,,,,,,,,
2024,South Winnipeg Recreation Campus: Library & Site Development,"The proposed project would see the development of a phased multi-use and multi-generational recreation campus in Waverley West that includes a regional aquatic/recreation facility with lap tank, leisure pool, fitness space, walking/running track, multiple gymnasiums, multi-purpose spaces, a community library and adjacent park space including athletic fields and a community spray pad.",Community Services,Recreation,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Growth,Waverley West B,Waverley West,POINT (-97.185917 49.797722),0,0,2029,Growth-supportive infrastructure,,N,5,,,,,,,
2023,Southeast Winnipeg New Community Centre (formerly Southeast Winnipeg Recreation Facility),text,Community Services,Recreation,Project,"$15,582,000",2%,5,Good Health & Well-Being,Growth,Sage Creek,St. Vital,POINT (-97.04721476 49.82717292),0,"1,100,000",2027,Growth-supportive infrastructure,,,,,,,,,,
2024,Shoal Lake Aqueduct Intake Facility Rehabilitation,"The Shoal Lake Aqueduct, which has been in continuous service since 1919, is the sole water supply infrastructure for the City. The Shoal Lake Intake Structure is the transition headworks to receive water from Shoal Lake and to control the water flow into the aqueduct. Given the critical nature of the intake structure and its associated venturi structure to the safe operation of the aqueduct and the City's water supply, a condition assessment was undertaken and identified a number of rehabilitation and replacement requirements. This included the replacement and refurbishment of various mechanical components that date back to the original construction, the replacement of the maintenance/communication facility, as well as upgrades and improvements to the existing infrastructure. The recommended improvements will be completed in phases on a risk-based priority",Water and Waste,Water,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2032,,,N,11,,,,,,,
2024,Facility Optimization - Land and Consolidation of Osborne Station,"With this capital funding the Winnipeg Fire Paramedic Service seeks to maximize the efficiency of the station network. This is achieved through relocations, replacements, and major enhancements to stations that help reduce costs but maintain the desired level of response. This project will identify land and the future consolidation of the Osborne Street stations in the Osborne Community area.",Fire Paramedic Service,Fire & Rescue Response,Project,$0,100%,5,"A Livable, Safe, Healthy, Happy City",Renew,River-Osborne,Fort Rouge - East Fort Garry,POINT (-97.1438843 49.87783749),0,0,2026,,,N,7,,,,,,,
2023,Millennium Library Parkade Facility Renewal Program,text,Public Works,Parking,Program,"$50,081,000",0%,,Leadership & Good Governance,Renew,South Portage,Fort Rouge - East Fort Garry,POINT (-97.142058 49.891789),0,"161,000",2024,,,,,,,,,,,
2024,Assiniboine Park Conservancy (APC) - Infrastructure and Sustainability,"This investment represents the City's ongoing commitment to Assiniboine Park building repairs, upgrades and park improvements.",Public Works,Parks - Regional,Commitment,$0,100%,,"A Livable, Safe, Healthy, Happy City",Renew,Assiniboine Park,Charleswood - Tuxedo - Westwood,POINT (-97.23028564 49.87211724),"5,400,000",0,2027,,,N,3,,,,,,,
2024,Parks and Recreation Enhancement Program,"Program is focused on playground restorations, including play equipment and safety surface replacements, along with associated amenity and pathway improvements to enhance accessibility, and other park and recreation enhancements.",Public Works,Parks - Local,Program,$0,100%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,"1,305,000",0,2027,,,Y,1,,,,,,,
2023,Network Products Evergreen,text,Innovation and Technology,Multiple Organizational Support Services,Program,"$7,622,000",100%,,Economic Prosperity,Renew,,,,"472,000",0,2030,,,,,,,,,,,
2024,Hoist Replacement at Fort Rouge Garage,"All 38 in-ground hoists found in the Fort Rouge Garage maintenance shop require replacement due to deterioration and age, inefficient and outdated designs, and to ensure compliance with new hoist codes and standards.",Winnipeg Transit,Public Transit,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14263831 49.86523158),0,0,2030,,,N,3,,,,,,,
2023,Route 165 Greenway - pedestrian overpass of Pembina Hwy,text,Public Works,Active Transportation,Project,"$19,000,000",0%,3,Good Health & Well-Being,Growth,Agassiz,Waverley West,POINT (-97.15246418 49.81940777),0,"500,000",2023,,,,,,,,,,,
2024,Urban Forest Renewal Program,This program supports sustainable urban forest management practices,Public Works,Urban Forestry,Program,$0,91%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Operations & Maintenance,,,,"11,061,000",0,2026,,,Y,1,,,,,,,
2023,"Consolidate Core Stations (Centennial, Spence, Sargent Park)",text,Fire Paramedic Service,Fire & Medical Response,Project,"$31,147,000",0%,5,City Building,Renew,West Alexander,Point Douglas,POINT (-97.14658 49.89845),0,"31,147,000",2032,,,,,,,,,,,
2023,Indoor Aquatics and Rec Centres Capital Renewal Program,text,Assets and Project Management,Recreation,Program,"$68,630,000",0%,,Leadership & Good Governance,Renew,,,,0,"10,930,000",2024,,,,,,,,,,,
2024,Pedestrian and Cycling Program,"The Pedestrian and Cycling Program supports the delivery of the City's long-term vision to maximize transportation options by ensuring the accessibility, comfort, and safety of walking and cycling in Winnipeg. This program includes the construction of new pedestrian and cycling facilities, facilities enhancements, studies, awareness and promotions of walking and cycling, and active transportation monitoring.",Public Works,Active Transportation,Program,"$489,587,000",14%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"2,161,000","67,859,000",2024,,,Y,1,,"489,587,000","69,428,000","420,159,000","454,210,000","34,051,000","420,159,000"
2024,Southwest Interceptor River Crossing,"This project includes the conceptual, preliminary and detailed design stages to upgrade the regional sewer system servicing the southwest quadrant of the City of Winnipeg.",Water and Waste,Wastewater,Project,$0,100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2029,Growth-enabling infrastructure,,N,16,,,,,,,
2023,Lift Station Upgrading: Station Rehabilitation,text,Water and Waste,Wastewater,Program,"$67,050,000",100%,,Environmental Resilience,Upgrade,,,,"7,300,000",0,2030,,,,,,,,,,,
2024,Training Centre (formerly McPhilips Academy),Expansion of academy to provide additional space to deliver required level of services,Fire Paramedic Service,Fire & Rescue Response,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Renew,Leila North,Old Kildonan,POINT (-97.14325453 49.96114652),0,0,2029,,,N,6,,,,,,,
2024,Fort Garry Lions Outdoor Pool Redevelopment,"The existing outdoor pool at this site is in poor condition, does not meet current accessibility standards nor provide adequate play value and amenities to serve this community or meet levels of service. The new pool will include contemporary pool features such as an accessible pool access ramp, slides, spray features, shaded seating areas, diving board(s) and a new pool change/washroom and mechanical system building.",Community Services,Recreation,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Crescent Park,Fort Rouge - East Fort Garry,POINT (-97.150292 49.840102),0,0,2027,,,Y,16,,,,,,,
2024,South Winnipeg Recreation Campus: Library & Site Development,"The proposed project would see the development of a phased multi-use and multi-generational recreation campus in Waverley West that includes a regional aquatic/recreation facility with lap tank, leisure pool, fitness space, walking/running track, multiple gymnasiums, multi-purpose spaces, a community library and adjacent park space including athletic fields and a community spray pad.",Community Services,Recreation,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Growth,Waverley West B,Waverley West,POINT (-97.185917 49.797722),0,0,2033,Growth-supportive infrastructure,,N,5,,,,,,,
