MeetingType,MeetingDate,Resolution,Voter,Vote,Result
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Eliminating ;the proposed $2.0 million ongoing operating increase in ;the Chief Housing Office in ;2026 for Supporting Delivery of the Home is Here Strategy as shown in Attachment 2  Page 15 (Table: 2026 Adjustments in Housing), thereby reducing total ongoing operating expenditures in 2026 by $2.0 million",Kim Tyers,Yes,MOTION DEFEATED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That sub-bullets be inserted under Recommendation 1, as follows:
Approving $65.0 million of capital budget in 2026 for Infrastructure Services, funded from the Community Investment Reserve, to deliver the Northeast Athletic Complex GamePLAN priority project in a timelier and more cost-effective way;",Mike Jamieson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That sub-bullets be inserted under Recommendation 1, as follows:
Approving $28.7 million of capital budget in 2026 for Infrastructure Services, funded from the Fiscal Stability Reserve, to advance planning and design for upgrades to, and/or additional amenities for the following GamePLAN priorities: ;





Shouldice Athletic Park; ;
Forest Lawn Civic Centre Phase 2; ;
Umoja Community Mosaic Soccer Field; ;
New Brighton Athletic Park field; ;
Southland Leisure Centre; ;
Belmont Recreation Centre and Athletic Park;
Kingsland Athletic Park; ;
Rocky Ridge Fieldhouse; and",Myke Atkinson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating an additional $750,000 in one-time operating funding to Civic Partners for the Civic Partnership Operating Grant program, funded from the Fiscal Stability Reserve, and direct Administration to apply the Program's Terms of Reference to distribute that funding to partners such as Platform Calgary ;",John Pantazopoulos,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council:

Agree in principle that the municipal share of provincial traffic fine revenue should be fully restored, and the reduction of photo radar services be reviewed against outcomes;
Express Councils intention that any restored revenue be earmarked for traffic-safety improvements, including but not limited to safer intersections, crosswalk upgrades, school-zone protections, and traffic-calming measures;
Request the Mayor to communicate Councils position to the Government of Alberta and to work collaboratively with the Minister of Justice, Minister of Municipal Affairs, and Minister of Transportation and Economic Corridors on an updated traffic fine revenue framework and photo radar service framework that restores municipal funding and supports community safety; and
Direct Administration to report back through Infrastructure and Planning Committee with options for allocating any restored revenues toward priority capital safety projects once provincial decisions are known.",Rob Ward,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That sub-bullets be inserted under Recommendation 1, as follows:
Approving $28.7 million of capital budget in 2026 for Infrastructure Services, funded from the Fiscal Stability Reserve, to advance planning and design for upgrades to, and/or additional amenities for the following GamePLAN priorities: ;





Shouldice Athletic Park; ;
Forest Lawn Civic Centre Phase 2; ;
Umoja Community Mosaic Soccer Field; ;
New Brighton Athletic Park field; ;
Southland Leisure Centre; ;
Belmont Recreation Centre and Athletic Park;
Kingsland Athletic Park; ;
Rocky Ridge Fieldhouse; and",Landon Johnston,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to commence ;scoping ;work to support ;a zero-based review program ;that includes the use of third-party consultants ;to work with staff with a report back to Council no later than ;the end of Q1 ;2026 ;including the following ;deliverables: ; ;

a ;work plan outlining timeline, resource requirements, and governance structure for the program;
criteria for selecting ;Business Units ;(e.g., cost, complexity, citizen impact, alignment with Council priorities);
a prioritized list of business units; and ; ;
proposed review schedule for 20262028. ;",Nathaniel Schmidt,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $2.0 million in capital funding in 2026 to Operational Services for New Traffic Signals and Pedestrian Corridors (P127-130) for two Rectangular Rapid Flash Beacons (RRFBs) per ward, at locations driven by safety need and informed by community and area Councillor input, to be funded from corporate capital grants",Harrison Clark,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That sub-bullets be inserted under Recommendation 1, as follows:
Approving $3.0 million of capital budget in 2026, funded from the Fiscal Stability Reserve, to YMCA Calgary through Civic Partners towards the detailed design and permitting of West District YMCA and Library",Nathaniel Schmidt,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Directing City Administration to freeze ;the proposed property tax increase ;for existing residential and non-residential properties, and ensure the property tax ;adjustment for 2026 is 0% ;by: ;



Offsetting the cost of the previous councils approved 1.64% tax increase in budget adjustments and savings; and ;
These adjustments should not rely on changes to funding for police, fire, and transit",Jennifer Wyness,No,MOTION DEFEATED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating an additional $750,000 in one-time operating funding to Civic Partners for the Civic Partnership Operating Grant program, funded from the Fiscal Stability Reserve, and direct Administration to apply the Program's Terms of Reference to distribute that funding to partners such as Platform Calgary ;",Dan McLean,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That a new sub-bullet be inserted under Recommendation 1, as follows:
Allocating $900,000 from the Fiscal Stability Reserve ;to Community Services to the National Music Centre ;to support initiatives and programming commemorating their 10th Anniversary",Kim Tyers,No,MOTION DEFEATED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating ;$9.0 ;million in one-time operating funding to Community Services in 2026, to be funded from Fiscal Stability Reserve for the purpose of improving transit safety, and direct Administration to: ;
i. Focus security enhancements on C-Train stations during afternoon rush hour (4 PM  8 PM), based on incident data;
ii. Implement Tiered Security Model as outlined in the Public Transit Safety Strategy:





Transit Peace Officers (TPOs): Mobile patrols, enforcement, complex calls; provide rapid response and support to static guards;
Corporate Security: Fixed posts at priority stations for observation, reporting, and customer assistance;
Contracted security guards: Scalable resource for ;additional ;fixed posts during expansion ;phase; ;





iii. Use phased approach to deploy security staff until additional peace officers are hired (aligned with growth strategy from 2024);
iv. Increase community outreach activities by adding six officers to the Community Outreach Team; and
v. Report back to Council Q3 2026 with results to determine if public perceived C-train was safer as a result",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That sub-bullets be inserted under Recommendation 1, as follows:
Approving $3.0 million of capital budget in 2026, funded from the Fiscal Stability Reserve, to YMCA Calgary through Civic Partners towards the detailed design and permitting of West District YMCA and Library",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of City Council to advocate for the Government of Alberta to take over the low income transit pass program from The City of Calgary and include the low income transit pass program in its budget.",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $11.25 million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026) to advance the procurement of buses, funded from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged",Dan McLean,No,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Reducing the 2026 ongoing operating budget of the following departments by 2.4% for a total of $9.5 ;million: ;



Chief Administrator's Office ($180,000);
Chief Operating Office ($800,000);
Corporate Planning & Financial Services ($2,170,000);
People, Innovation & Collaboration Services ($4,675,000); and
Law, ;Legislative Services ;& Security ;($1,675,000)",Jennifer Wyness,No,MOTION DEFEATED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $2.0 million in capital funding in 2026 to Operational Services for New Traffic Signals and Pedestrian Corridors (P127-130) for two Rectangular Rapid Flash Beacons (RRFBs) per ward, at locations driven by safety need and informed by community and area Councillor input, to be funded from corporate capital grants",Myke Atkinson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $7.55 ;million ;in capital budget in 2026 to Operational Services to the Safety Improvements program (P127_141) for the Vision Zero Improvements Investment Package in attached ;Distribution ;3, to be funded from Fiscal Stability Reserve (FSR)",John Pantazopoulos,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $11.25 million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026) to advance the procurement of buses, funded from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged",Landon Johnston,No,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $2.0 million in capital funding in 2026 to Operational Services for New Traffic Signals and Pedestrian Corridors (P127-130) for two Rectangular Rapid Flash Beacons (RRFBs) per ward, at locations driven by safety need and informed by community and area Councillor input, to be funded from corporate capital grants",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That sub-bullets be inserted under Recommendation 1, as follows:
Approving $3.0 million of capital budget in 2026, funded from the Fiscal Stability Reserve, to YMCA Calgary through Civic Partners towards the detailed design and permitting of West District YMCA and Library",Myke Atkinson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of the City Council to advocate for the Government of Alberta to incorporate and fully fund community Court into the provincial court system.",Harrison Clark,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That a new sub-bullet be inserted under Recommendation 1, as follows:
Allocating $150,000 in one-time funding in 2026 to Operational Services from the Fiscal Stability Reserve (FSR) for the Dermot Baldwin Way Daily Contract Cleaning Program, and direct Administration to consider this item for ongoing funding in the preparation of the 2027-2030 Budget",Mike Jamieson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $1.0 million ;in capital funding from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged to the Heritage Asset Sustainment Program, Facilities (480759) in 2026 to Operational Services for the historic Beltline YWCA and former Beltline Pool site for security and consulting costs to further refine capital maintenance requirements. This program supports planning and completing deferred maintenance and rehabilitation projects for the Citys historic buildings, many of which are in critical condition ;",Andrew Yule,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Directing City Administration to freeze ;the proposed property tax increase ;for existing residential and non-residential properties, and ensure the property tax ;adjustment for 2026 is 0% ;by: ;



Offsetting the cost of the previous councils approved 1.64% tax increase in budget adjustments and savings; and ;
These adjustments should not rely on changes to funding for police, fire, and transit",Mike Jamieson,Yes,MOTION DEFEATED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to collaborate with the Real Estate Sector Advisory Committee (RESAC) of Calgary Economic Development to review the Terms of Reference for the Downtown Calgary Development Incentive Program and report back on the following suggestions to Executive Committee of Council no later than Q2 2026 with recommendations to: ;

Review the maximum eligible funding limit per project; ;
Examine alternative methods of delivering incentives to encourage conversions beyond per square footage incentives;
Include a base rate of return threshold that the City is expected to generate after conversion based on incremental property taxes divided by amount of grant for each project; and ;
Explore creation of the option for a competitive process for applicants to propose a rate per square foot specific to their conversion project up to a maximum of $60 per square foot for residential conversions and up to $75 per square foot for non-residential conversions. ;",Andre Chabot,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating an additional $750,000 in one-time operating funding to Civic Partners for the Civic Partnership Operating Grant program, funded from the Fiscal Stability Reserve, and direct Administration to apply the Program's Terms of Reference to distribute that funding to partners such as Platform Calgary ;",Rob Ward,No,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of the City Council to advocate for the Government of Alberta to incorporate and fully fund community Court into the provincial court system.",Landon Johnston,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That sub-bullets be inserted under Recommendation 1, as follows:
Approving $28.7 million of capital budget in 2026 for Infrastructure Services, funded from the Fiscal Stability Reserve, to advance planning and design for upgrades to, and/or additional amenities for the following GamePLAN priorities: ;





Shouldice Athletic Park; ;
Forest Lawn Civic Centre Phase 2; ;
Umoja Community Mosaic Soccer Field; ;
New Brighton Athletic Park field; ;
Southland Leisure Centre; ;
Belmont Recreation Centre and Athletic Park;
Kingsland Athletic Park; ;
Rocky Ridge Fieldhouse; and",Rob Ward,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $2.0 million in capital funding in 2026 to Operational Services for New Traffic Signals and Pedestrian Corridors (P127-130) for two Rectangular Rapid Flash Beacons (RRFBs) per ward, at locations driven by safety need and informed by community and area Councillor input, to be funded from corporate capital grants",Mike Jamieson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating ;$9.0 ;million in one-time operating funding to Community Services in 2026, to be funded from Fiscal Stability Reserve for the purpose of improving transit safety, and direct Administration to: ;
i. Focus security enhancements on C-Train stations during afternoon rush hour (4 PM  8 PM), based on incident data;
ii. Implement Tiered Security Model as outlined in the Public Transit Safety Strategy:





Transit Peace Officers (TPOs): Mobile patrols, enforcement, complex calls; provide rapid response and support to static guards;
Corporate Security: Fixed posts at priority stations for observation, reporting, and customer assistance;
Contracted security guards: Scalable resource for ;additional ;fixed posts during expansion ;phase; ;





iii. Use phased approach to deploy security staff until additional peace officers are hired (aligned with growth strategy from 2024);
iv. Increase community outreach activities by adding six officers to the Community Outreach Team; and
v. Report back to Council Q3 2026 with results to determine if public perceived C-train was safer as a result",Myke Atkinson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"i. $3.0 million to the Heritage Incentive Reserve; and
ii. $5.0 million to the Heritage Calgary Reserve Fund;
x. ;That with respect to the Community Services budget for the Calgary Fire Department, approving the following for 2026: ; ;



Engine: $4.5 million ongoing operating, funded from property taxes, and $2.2 million capital (P044_D02), funded by corporate capital grant;
Training Coordinator - $230,000 ongoing operating, funded from property taxes;
4 training officers - $860,000 ongoing operating, funded from property taxes; and
6 mechanics - $900,000 ongoing operating, funded from property taxes; ;



y. Allocating $11.25 million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026) to advance the procurement of buses, funded from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged;
2. Give three readings to Proposed Bylaw 51M2025 in Attachment 2; and
3. Direct that the Closed Meeting discussions remain confidential pursuant to Sections 19 (Disclosure harmful to business interests of a third party) and 29 (Advice from officials) of the Access to Information Act.",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Directing City Administration to freeze ;the proposed property tax increase ;for existing residential and non-residential properties, and ensure the property tax ;adjustment for 2026 is 0% ;by: ;



Offsetting the cost of the previous councils approved 1.64% tax increase in budget adjustments and savings; and ;
These adjustments should not rely on changes to funding for police, fire, and transit",Rajdeep Dhaliwal,No,MOTION DEFEATED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to commence ;scoping ;work to support ;a zero-based review program ;that includes the use of third-party consultants ;to work with staff with a report back to Council no later than ;the end of Q1 ;2026 ;including the following ;deliverables: ; ;

a ;work plan outlining timeline, resource requirements, and governance structure for the program;
criteria for selecting ;Business Units ;(e.g., cost, complexity, citizen impact, alignment with Council priorities);
a prioritized list of business units; and ; ;
proposed review schedule for 20262028. ;",Andrew Yule,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That a new sub-bullet be inserted under Recommendation 1, as follows:
Allocating $900,000 from the Fiscal Stability Reserve ;to Community Services to the National Music Centre ;to support initiatives and programming commemorating their 10th Anniversary",Rajdeep Dhaliwal,Yes,MOTION DEFEATED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council direct Administration to ;shift 0.25 per cent in tax share from non-residential to residential properties in each of the next 8 years starting in 2027 as part of the 2027-2030 Budget Cycle. ;",DJ Kelly,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to collaborate with the Real Estate Sector Advisory Committee (RESAC) of Calgary Economic Development to review the Terms of Reference for the Downtown Calgary Development Incentive Program and report back on the following suggestions to Executive Committee of Council no later than Q2 2026 with recommendations to: ;

Review the maximum eligible funding limit per project; ;
Examine alternative methods of delivering incentives to encourage conversions beyond per square footage incentives;
Include a base rate of return threshold that the City is expected to generate after conversion based on incremental property taxes divided by amount of grant for each project; and ;
Explore creation of the option for a competitive process for applicants to propose a rate per square foot specific to their conversion project up to a maximum of $60 per square foot for residential conversions and up to $75 per square foot for non-residential conversions. ;",Landon Johnston,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That a new sub-bullet be inserted under Recommendation 1, as follows:
Allocating $900,000 from the Fiscal Stability Reserve ;to Community Services to the National Music Centre ;to support initiatives and programming commemorating their 10th Anniversary",Jennifer Wyness,No,MOTION DEFEATED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That sub-bullets be inserted under Recommendation 1, as follows:
Approving $65.0 million of capital budget in 2026 for Infrastructure Services, funded from the Community Investment Reserve, to deliver the Northeast Athletic Complex GamePLAN priority project in a timelier and more cost-effective way;",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $8.0 million from the Fiscal Stability Reserve as follows:





 $3.0 million to the Heritage Incentive Reserve; and
 $5.0 million to the Heritage Calgary Reserve Fund",Myke Atkinson,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $1.0 million ;in capital funding from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged to the Heritage Asset Sustainment Program, Facilities (480759) in 2026 to Operational Services for the historic Beltline YWCA and former Beltline Pool site for security and consulting costs to further refine capital maintenance requirements. This program supports planning and completing deferred maintenance and rehabilitation projects for the Citys historic buildings, many of which are in critical condition ;",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council directs Administration to prepare a report outlining the creation of a new Standing Policy Committee called the SPC on Finance, Budget and Corporate Services, with a mandate to:

Provide oversight and advice to Administration on the implementation of the 4-year budget and annual budget adjustments;
Perform a detailed review of every Departmental/Business Unit budget over the course of the 4-year term; and

Report to return to Council on or before end of Q1 2026.",Myke Atkinson,No,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That sub-bullets be inserted under Recommendation 1, as follows:
Approving $28.7 million of capital budget in 2026 for Infrastructure Services, funded from the Fiscal Stability Reserve, to advance planning and design for upgrades to, and/or additional amenities for the following GamePLAN priorities: ;





Shouldice Athletic Park; ;
Forest Lawn Civic Centre Phase 2; ;
Umoja Community Mosaic Soccer Field; ;
New Brighton Athletic Park field; ;
Southland Leisure Centre; ;
Belmont Recreation Centre and Athletic Park;
Kingsland Athletic Park; ;
Rocky Ridge Fieldhouse; and",Nathaniel Schmidt,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to commence ;scoping ;work to support ;a zero-based review program ;that includes the use of third-party consultants ;to work with staff with a report back to Council no later than ;the end of Q1 ;2026 ;including the following ;deliverables: ; ;

a ;work plan outlining timeline, resource requirements, and governance structure for the program;
criteria for selecting ;Business Units ;(e.g., cost, complexity, citizen impact, alignment with Council priorities);
a prioritized list of business units; and ; ;
proposed review schedule for 20262028. ;",Jennifer Wyness,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council:

Agree in principle that the municipal share of provincial traffic fine revenue should be fully restored, and the reduction of photo radar services be reviewed against outcomes;
Express Councils intention that any restored revenue be earmarked for traffic-safety improvements, including but not limited to safer intersections, crosswalk upgrades, school-zone protections, and traffic-calming measures;
Request the Mayor to communicate Councils position to the Government of Alberta and to work collaboratively with the Minister of Justice, Minister of Municipal Affairs, and Minister of Transportation and Economic Corridors on an updated traffic fine revenue framework and photo radar service framework that restores municipal funding and supports community safety; and
Direct Administration to report back through Infrastructure and Planning Committee with options for allocating any restored revenues toward priority capital safety projects once provincial decisions are known.",Dan McLean,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $300,000 of capital budget to Operational Services funded by the Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged for tenant improvements for accessibility features including, but not limited to, the east entrance at the West Hillhurst Civic Centre Renovation to the Recreation Facility Lifecycle (A405701) activity in 2026",John Pantazopoulos,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following proposed amendment be referred to Administration to bring forward to the 2026 November 10 Regular Meeting of Council for consideration as part of 2027-2030 Business Plans and Budgets:
Allocating $45.0 ;million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026, $11.25 million in 2027, $22.5 million in 2028) to advance the procurement of buses, funded from the Fiscal Stability Reserve (FSR), which is expected to receive a favorable year-end variance",John Pantazopoulos,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"i. $3.0 million to the Heritage Incentive Reserve; and
ii. $5.0 million to the Heritage Calgary Reserve Fund;
x. ;That with respect to the Community Services budget for the Calgary Fire Department, approving the following for 2026: ; ;



Engine: $4.5 million ongoing operating, funded from property taxes, and $2.2 million capital (P044_D02), funded by corporate capital grant;
Training Coordinator - $230,000 ongoing operating, funded from property taxes;
4 training officers - $860,000 ongoing operating, funded from property taxes; and
6 mechanics - $900,000 ongoing operating, funded from property taxes; ;



y. Allocating $11.25 million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026) to advance the procurement of buses, funded from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged;
2. Give three readings to Proposed Bylaw 51M2025 in Attachment 2; and
3. Direct that the Closed Meeting discussions remain confidential pursuant to Sections 19 (Disclosure harmful to business interests of a third party) and 29 (Advice from officials) of the Access to Information Act.",Harrison Clark,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council:

Agree in principle that the municipal share of provincial traffic fine revenue should be fully restored, and the reduction of photo radar services be reviewed against outcomes;
Express Councils intention that any restored revenue be earmarked for traffic-safety improvements, including but not limited to safer intersections, crosswalk upgrades, school-zone protections, and traffic-calming measures;
Request the Mayor to communicate Councils position to the Government of Alberta and to work collaboratively with the Minister of Justice, Minister of Municipal Affairs, and Minister of Transportation and Economic Corridors on an updated traffic fine revenue framework and photo radar service framework that restores municipal funding and supports community safety; and
Direct Administration to report back through Infrastructure and Planning Committee with options for allocating any restored revenues toward priority capital safety projects once provincial decisions are known.",Landon Johnston,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $11.25 million in capital funding to Operational Services for Bus Purchases (P665_02W, $11.25 million in 2026) to advance the procurement of buses, funded from Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged",Nathaniel Schmidt,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of City Council to advocate for the Government of Alberta to take over the low income transit pass program from The City of Calgary and include the low income transit pass program in its budget.",Landon Johnston,No,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That sub-bullets be inserted under Recommendation 1, as follows:
Approving $28.7 million of capital budget in 2026 for Infrastructure Services, funded from the Fiscal Stability Reserve, to advance planning and design for upgrades to, and/or additional amenities for the following GamePLAN priorities: ;





Shouldice Athletic Park; ;
Forest Lawn Civic Centre Phase 2; ;
Umoja Community Mosaic Soccer Field; ;
New Brighton Athletic Park field; ;
Southland Leisure Centre; ;
Belmont Recreation Centre and Athletic Park;
Kingsland Athletic Park; ;
Rocky Ridge Fieldhouse; and",Dan McLean,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Eliminating ;the proposed $2.0 million ongoing operating increase in ;the Chief Housing Office in ;2026 for Supporting Delivery of the Home is Here Strategy as shown in Attachment 2  Page 15 (Table: 2026 Adjustments in Housing), thereby reducing total ongoing operating expenditures in 2026 by $2.0 million",John Pantazopoulos,No,MOTION DEFEATED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of City Council to advocate for the Government of Alberta to take over the low income transit pass program from The City of Calgary and include the low income transit pass program in its budget.",John Pantazopoulos,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Directing City Administration to freeze ;the proposed property tax increase ;for existing residential and non-residential properties, and ensure the property tax ;adjustment for 2026 is 0% ;by: ;



Offsetting the cost of the previous councils approved 1.64% tax increase in budget adjustments and savings; and ;
These adjustments should not rely on changes to funding for police, fire, and transit",Nathaniel Schmidt,No,MOTION DEFEATED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That a new sub-bullet be inserted under Recommendation 1, as follows:
Allocating $1.0 million in one-time funding in 2026 to Operational Services from the Fiscal Stability Reserve (FSR) for the Washroom Attendant Program at Devonian Gardens, Century Gardens Park, and Central Memorial Park, and direct Administration to consider this item for ongoing funding in the preparation of the 2027-2030 Budget",Andre Chabot,Yes,MOTION CARRIED
